,sequential time,,,,
species,indegree/outdegree,indegree,Random,,
100,225.1244471,128.3960718,127.2212768,,
200,661.5107369,359.8099401,314.0171186,,
400,2629.215804,1183.700008,938.5244538,,
800,15191.43418,5651.351219,3689.615681,,
,,,,,
,,,,,
,parallel time,,,,
species,indegree/outdegree,indegree,Random,,
100,40.7119993,24.5097289,24.3650887,,
200,127.6088093,67.4829346,56.2564665,,
400,506.7394562,221.3084153,178.6954982,,
800,2910.667343,1064.881802,730.9438281,,
,,,,,
,,,,,
,parallel  reaction number,,,,
species,indegree/outdegree,indegree,Random,,
100,192.058,106.633,88.7,,
200,434.17,230.975,177.047,,
400,983.793,497.976,353.282,,
800,2156.253,1085.394,708.268,,
,,,,,
,,,,,
SMG,,,SBB,,
Minimum allowed (101 reactions),parity (400 reactions),SBB random reaction number (984),Indegree/Outdegree distributions,Indegree distribution,Random
89.955281,364.1743689,838.7396398,178.6954982,221.3084153,506.7394562
